competence_id,referentiel_id,epreuve,bloc,section,code_competence,competence,famille,niveau,actif,resultats_attendus
COMP_D56B44DF,R0001,EP2,,,C6.1,Effectuer des montages avec des cercles ou des moules,Production,,True,"Dextérité du geste
Sélection adaptée du matériel
Respect du schéma de montage
Régularité et netteté du produit fini
Respect de la forme demandée"
COMP_9F525E8B,R0001,EP2,,,C6.3,Adapter un montage et/ou une garniture selon la commande,Production,,True,"Dextérité du geste
Sélection adaptée du matériel
Respect du schéma de montage
Régularité et netteté du produit fini
Respect de la forme demandée"
COMP_FE29CA29,R0001,EP2,Glaçages,Glaçages,C6.4.1,Confectionner un glaçage selon le gâteau,Production,,True,"Conformité de l’homogénéité, de la fluidité et de
la texture du glaçage"
COMP_5B16BCFA,R0001,EP2,Glaçages,Glaçages,C6.4.3,Confectionner un glaçage miroir selon le gâteau,Production,,True,"Conformité de l’homogénéité, de la fluidité et de
la texture du glaçage"
COMP_E9ED34D2,R0001,EP2,0,0,C6.5,Glacer un entremets ou un petit gâteau partiellement ou complètement,Production,,True,"Dextérité du geste
Régularité, brillance et finesse du glaçage"
COMP_F36E2610,R0001,EP2,Décors,Décors,C6.7,Modeler la pâte d’amandes pour créer des décors,Production,,True,"Dextérité du geste
Conformité et finesse du décor réalisé"
COMP_171449A6,R0001,EP2,,,C6.10.1,Fabriquer et utiliser un cornet,Production,,True,"Dextérité lors de la confection du cornet
Habileté lors de l’écriture et du décor au cornet
Qualité du tracé fin, régulier, esthétique et lisible"
COMP_9360A1AA,R0001,EP2,Ecritures,Ecritures,C6.10.2,Fabriquer et utiliser un cornet,Production,,True,"Dextérité lors de la confection du cornet
Habileté lors de l’écriture et du décor au cornet
Qualité du tracé fin, régulier, esthétique et lisible"
COMP_E21FA065,R0001,EP2,,,C6.11,Disposer les éléments de décor,Production,,True,"Équilibre et harmonie du décor
Qualité visuelle suscitant l’envie de déguster
Respect du thème, de la composition et de
l’identité du gâteau"
COMP_EE2024D5,R0001,EP2,Valoriser la pâtisserie élaborée,Valoriser la pâtisserie élaborée,C7.1,Justifier l’état de commercialisation d’un produit fini,Production,,True,"Analyse organoleptique argumentée :
- aspect et odeur appétissants
- goût équilibré et harmonieux"
COMP_2D8C3FE4,R0001,EP2,Valoriser la pâtisserie élaborée,Valoriser la pâtisserie élaborée,C7.2,Valoriser la pâtisserie fabriquée au-près du personnel de vente,Production,,True,"Clarté, précision, fiabilité et concision des
informations transmises"
COMP_34F3BECB,R0001,EP2,Mesurer le coût des produits fabriqués,Mesurer le coût des produits fabriqués,C7.3,Calculer le coût de la matière d’oeuvre nécessaire pour élaborer un gâteau,Production,,True,Exactitude de la démarche
COMP_70630688,R0001,EP2,Mesurer le coût des produits fabriqués,Mesurer le coût des produits fabriqués,C7.4,Identifier les facteurs ayant une incidence sur le coût de production et la fixation du prix de vente,Production,,True,"Identification pertinente des :
- éléments constitutifs des indicateurs
calculés
- facteurs internes et/ou externes ayant
une incidence sur le volume des
ventes"
